	Title of Headline Roundup	description	Topics	Date	url_story	left_story_title	center_story_title	right_story_title	right_story_url	right_story_text	center_story_url	center_story_text	left_story_url	left_story_text
3503	Gov Christie Keynote		Elections	2012-08-28	/story/gov-christie-keynote	In Keynote Speech, Christie Asks Country to Face Hard Truths	Transcript: Gov. Chris Christie's Convention Speech	Christie rallies GOP in convention keynote with tough-love 'truth-telling' message	http://www.foxnews.com/politics/2012/08/28/christie-rallies-gop-in-keynote-speech-emphasizes-respect-over-desire-to-be/	Chris Christie brought the tough love, the swagger, the fight -- and even the Boss -- to Tampa Tuesday night.	http://www.npr.org/2012/08/28/160213518/transcript-gov-chris-christies-convention-speech	This stage and this moment are very improbable for me. A New Jersey Republican delivering the keynote address to our national convention, from a state with 700,000 more Democrats than Republicans. A New Jersey Republican stands before you tonight. Proud of my party, proud of my state and proud of my country.	http://thecaucus.blogs.nytimes.com/2012/08/28/in-keynote-speech-christie-asks-country-to-face-hard-truths/	Chris Christie, the sharp-tongued governor of New Jersey, on Tuesday extolled Mitt Romney as an exceptional leader willing to speak hard truths to a nation weary of President ObamaÃ¢â‚¬Ëœs policies and ready to make a much-needed change.
3504	Priebus Matthews Conflict		Elections	2012-08-28	/story/priebus-matthews-conflict	Chris Matthews defends attack on Priebus: GOP 'dividing country along racial lines'	In Tense Confrontation, Chris Matthews, RNC Chair Priebus Debate 'Race Card'	RNC's Priebus hits back at MSNBC's Matthews - 'He wants to be the biggest jerk in the room'	http://www.washingtontimes.com/blog/watercooler/2012/aug/27/picket-rncs-priebus-hits-back-msnbcs-matthews-he-w/	"OPINION
Republican National Committee Chairman Reince Priebus was not impressed with MSNBC's Chris Matthew's shot at the GOP who said on his Monday evening program, when discussing Mitt Romney's sarcastic reference to President Obama's birth certificate recently:
Read more: PICKET: RNC's Priebus hits back at MSNBC's Matthews -..."	http://www.npr.org/blogs/thetwo-way/2012/08/27/160111806/in-tense-confrontation-chris-matthews-rnc-chair-priebus-debate-race-card	"This morning on MSNBC's Morning Joe, there was a tense confrontation between Chris Matthews and the Republican National Committee Chairman Reince Priebus.
Well, perhaps calling it a confrontation might imply two were involved when for most part, it was Matthews dumping on Priebus, whose party he accused of playing the ""race card."""	http://www.politico.com/blogs/media/2012/08/chris-matthews-defends-attack-on-priebus-says-republican-133422.html	"AMPA, Fla. -- In an emotional interview with POLITICO tonight, MSNBC host Chris Matthews defended his spirited attack against RNC Chairman Reince Priebus, in which he alleged that the Republican party was guilty of playing the race card against President Barack Obama.
""It is obvious that this is something I care passionately about: race was abused by white politicians in my lifetime, including Reagan. For someone to come on the program and deny that this is part of their process, I couldn't take that,"" Matthews said. ""This is something I..."
3501	Paul Ryan at RNC		Elections	2012-08-29	/story/paul-ryan-rnc	Paul Ryan's Debt Talk Contradicts His Entire Career 	Words, Good And Bad, Come Quickly To Mind For Many About Paul Ryan	Ryan on tap to deliver 'hard truths' in VP nomination speech 	http://www.foxnews.com/politics/2012/08/29/ryan-on-tap-to-deliver-hard-truths-in-vp-nomination-speech/	"The Wisconsin congressman has been quietly preparing his speech for days. Members of Ryan's staff contacted by Fox News earlier this week said they couldn't say precisely how long it would be, but that he has ""teased"" some of the ideas in it before."	http://www.npr.org/blogs/itsallpolitics/2012/08/29/160231411/words-good-and-bad-come-quickly-to-mind-for-many-about-paul-ryan	Young — he's 42 — and a favorite of the conservative right, Ryan brought energy and attention to Mitt Romney's ticket, and could help him play better in the key Badger State in November. Tonight, he's set to accept his party's vice presidential nomination.	http://www.huffingtonpost.com/ari-melber/paul-ryans-debt-talk-cont_b_1838969.html	"Paul Ryan gives the first major national address of his career at the RNC on Wednesday night, and he will have to do more than ""introduce"" himself. He needs to rebrand himself."
3499	Media Injects Race		Media Bias	2012-08-30	/story/media-injects-race	The race canard	Yahoo Fires Bureau Chief For Romney/blacks Remark	The MSM's Hyper-Racial RNC Coverage	http://townhall.com/tipsheet/guybenson/2012/08/29/the_msms_hyperracial_rnc_coverage	You're already aware that MSNBC -- America's self-appointed racist dog whistle truth squad -- oddly chose not to air numerous speeches delivered by racial minorities at last night's Republican convention. They have a narrative to protect, and all that. But the Left-wing cable news channel isn't the only outlet following Chris Matthews down the path of unhinged and shameless race-baiting.	http://www.npr.org/templates/story/story.php	"Yahoo News fired its Washington bureau chief on Wednesday, less than 24 hours after he was caught on an open microphone saying that Mitt Romney and his wife, at the GOP convention in Florida while a hurricane was approaching Louisiana, were ""happy to have a party with black people drowning."""	http://www.politico.com/news/stories/0812/80430.html	"OPINION
Silly season is over. Racist season is here. Silly season is when nothing is going on in the presidential campaign and the debate focuses on trivialities. Racist season is when the presidential campaign begins in earnest and President Barack Obama looks vulnerable. Then, liberal commentators pull out all the stops to deem practically any criticism of the president racist."
3500	Who is Paul Ryan?		Elections	2012-08-30	/story/who-paul-ryan	Why the GOP is winning the battle over Paul Ryan	Wikipedia: Paul Ryan	Who Is Paul Ryan?	http://www.realclearpolitics.com/articles/2012/08/22/who_is_paul_ryan_115174.html	"OPINION
I wanted to like Paul Ryan. Before he was nationally known, Rep. Ryan visited me at ABC, and we went to lunch. He was terrific. He was a rare politician, one who actually cared about America's coming debt crisis and the unfairness of entitlements. He even talked about F.A. Hayek's ""The Road to Serfdom""! If only more politicians thought that way."	http://en.wikipedia.org/wiki/Paul_Ryan	Paul Davis Ryan (born January 29, 1970) is the United States Representative for Wisconsin's 1st congressional district and the nominee of the Republican Party for Vice President of the United States in the 2012 election. Born and raised in Janesville, Wisconsin, Ryan is a graduate of Miami University in Ohio. He worked as an aide to legislators Bob Kasten, Sam Brownback, and Jack Kemp, and as a speechwriter before winning election to the U.S. House in 1998. He is currently the chairman of the House Budget Committee.	http://www.washingtonpost.com/blogs/the-fix/wp/2012/08/29/why-the-gop-is-winning-the-battle-over-paul-ryan/	Say what you want about Paul Ryans politics; even Democrats in Congress struggle to find a negative word to say about him.
3498	Romney Acceptance Speech		Elections	2012-08-31	/story/romney-acceptance-speech	Romney Vows to Deliver Country From Economic Travails	Romney Makes His Own Case For Change	Romney accepts nomination, says 'now is the time to restore the promise of America'	http://www.foxnews.com/politics/2012/08/30/romney-accepts-gop-presidential-nomination/	Mitt Romney reintroduced himself to the country Thursday night in Tampa, delivering a deeply personal nomination acceptance address that balanced pledges to fix the economy and critiques of President Obama with stories about his own life and where he comes from.	http://www.npr.org/blogs/itsallpolitics/2012/08/30/160358395/romney-makes-his-own-case-for-change	Turns out Romney's moment Thursday night was a fine one, if not a great one. His speech continued the campaign's concerted effort to reach out to skeptical female voters, reminding the audience that his strong mother ran for Senate.	http://www.nytimes.com/2012/08/31/us/politics/romney-vows-to-deliver-country-from-economic-travails.html	Mitt Romney accepted the Republican presidential nomination on Thursday by making a direct appeal to Americans who were captivated by President Obamas hopeful promises of change, pledging that he could deliver what the president did not and move the country from its worst economic downturn since the Great Depression.
3497	GOP Convention Bounce		Elections	2012-09-01	/story/gop-convention-bounce	Sept. 1: RomneyÃ¢â‚¬â„¢s Convention Bounce Appears Middling So Far	A Fine Night For Romney, But No Game Change	Romney 47% Obama 44%	http://townhall.com/tipsheet/heatherginsberg/2012/09/01/romney_47_obama_44	Following last weeks GOP Convention, Mitt Romney has seen a bump in his polling numbers. Just one day after the convention ended, Rasmussen found that Governor Romney now leads President Obama. Romney now garners 47% of the vote compared to Obamas 44%. This is an expected modest bounce, but there could be an even larger bounce because of much of this data was collected before Romneys speech on Thursday night.	http://www.npr.org/blogs/itsallpolitics/2012/08/30/160358395/romney-makes-his-own-case-for-change	"It's been the political world's obsession for weeks leading into the Republican National Convention in Tampa. Would nominee Mitt Romney manage what would be miraculous for any candidate, and in a handful of days and one big speech wash away the problems of a modern candidacy?
Turns out Romney's moment Thursday night was a fine one, if not a great one."	http://fivethirtyeight.blogs.nytimes.com/2012/09/01/sept-1-romneys-convention-bounce-appears-middling-so-far/	"OPINION
The Republican National Convention in Tampa, Fla. received mediocre television ratings Ã¢â‚¬â€ and the polling data so far suggests that it may produce only a modest bounce in the polls for Mitt Romney."
3496	Post Convention Polls		Elections	2012-09-04	/story/post-convention-polls	CNN poll: Romney gains one point after GOP convention	Gallup: No convention bounce for Romney	Romney's Convention Bounce	http://townhall.com/tipsheet/guybenson/2012/09/03/romneys_convention_bounce	Did the Republican National Convention give Mitt Romney a poll bounce? Yes, it seems, but a small one. Before things kicked off in Tampa, Joel Pollak warned Romney supporters not to expect much of a post-convention bump. His admonition has been partially vindicated. Liberal electoral stats maven Nate Silver says evidence of a lasting poll surge is scant, but that assessment depends on what survey you're looking at. Gallup's weekend numbers showed Obama's job approval dropping and his disapproval on the rise, but the overall race remains deadlocked. Reuters' tracker...	http://content.usatoday.com/communities/theoval/post/2012/09/gallup-no-convention-bounce-for-romney/1	"HARLOTTE -- It doesn't look like Mitt Romney's poll position improved after last week's Republican national convention.
Recent daily tracking poll averages nationwide put President Obama at 47% and Romney at 46%, according to Gallup.
""We have been monitoring the"	http://politicalticker.blogs.cnn.com/2012/09/04/cnn-poll-did-romney-get-a-convention-bounce/	"- It's the question everyone's asking: Did Mitt Romney get a bounce out of last week's Republican National Convention in Tampa, Florida?
According to a new national poll released Tuesday, just before the start of the Democratic convention, the GOP presidential nominee appears to have received a one-point convention bounce, normal for the modern political era."
3495	Clinton at DNC		Elections	2012-09-05	/story/clinton-dnc	Clinton Delivers Stirring Plea for Obama Second Term	Transcript: Bill Clinton's Convention Speech	Clinton returns to back Obama at DNC	http://www.washingtontimes.com/news/2012/sep/5/clinton-returns-back-obama-dnc/	Democrats rushed to clean up a party platform mess Wednesday and moved to officially re-nominate President Obama for a second term in office as his predecessor, former President Bill Clinton, said voters this year must choose between Republicans “winner-take-all vision of success and his own partys “shared prosperity.	http://www.npr.org/2012/09/05/160643183/transcript-bill-clintons-convention-speech	We're here to nominate a President, and I've got one in mind. I want to nominate a man whose own life has known its fair share of adversity and uncertainty.	http://www.nytimes.com/2012/09/06/us/politics/clinton-delivers-stirring-plea-for-obama-second-term.html	Former President Bill Clinton and President Obama hugged on stage Wednesday night after Mr. Clinton delivered an impassioned plea on behalf of Mr. Obamas re-election, the 42nd president nominating the 44th to a second term with a forceful and spirited argument that Democratic values would restore the promise of the middle class.
3493	Differing Opinions on Clinton		Elections	2012-09-06	/story/differing-opinions-clinton	Bill Clinton's Stunning Jobs Claim At DNC Actually True 	Clinton And Other Dems Did Some Cherry-Picking, Fact Checkers Say	HURT: Six things Clinton said at the DNC that undermined Obama 	http://www.washingtontimes.com/news/2012/sep/6/hurt-six-things-clinton-did-undermine-obama-dnc/	"Bill Clintons typically epic speech last night was certainly the most detailed, calculated and complete attack on the Republican agenda that we have heard during the entire campaign. It was also the most unreserved and embracing defense of President Obama.
Read..."	http://www.npr.org/blogs/itsallpolitics/2012/09/06/160656546/clinton-and-other-dems-did-some-cherry-picking-fact-checkers-say	"Good morning.
Just as they did during the Republican National Convention, independent fact checkers are watching and listening to what's said at the Democratic National Convention. While they aren't yet slamming the Democrats for fudging their facts, they are finding some claims that don't add up or are misleading, both Tuesday night and again on Wednesday:
— ""When former President Bill Clinton took the stage at the Democratic National Convention on Wednesday, he portrayed President Barack Obama as a pragmatic compromiser who has been stymied at every turn by Republicans,""..."	http://www.huffingtonpost.com/2012/09/06/bill-clinton-job-creation_n_1861071.html	"Former U.S. President Bill Clinton highlighted a stunning fact during his speech at the Democratic National Convention on Wednesday: Democratic presidents have overseen the creation of nearly twice as many jobs as Republican presidents since 1961.
""What's the job score? Republicans, 24 million; Democrats, 42 [million],"" Clinton said to cheers and applause."
3494	DNC Night #3 Preview		Elections	2012-09-06	/story/dnc-night-3-preview	Democratic National Convention 2012: September 6 In Charlotte (LIVE UPDATES) 	In High-Stakes Speech, Obama Seeks To Shift The Argument Forward	Obama campaign: 'Tonight is not about magic' 	http://www.foxnews.com/politics/2012/09/06/obama-campaign-tonight-is-not-about-magic/	"President Obama will trade the ""magic"" of his 2008 campaign rhetoric for a ""pragmatic"" pitch for how he plans to restore economic security to America in his nomination address Thursday night, campaign officials said."	http://www.npr.org/blogs/itsallpolitics/2012/09/06/160669132/in-high-stakes-speech-obama-seeks-to-shift-the-argument-forward	"President Obama won't be giving the speech he might wish tonight.
All presidents accepting their party's re-nomination seek to shift from a message of hope and change to one of progress and accomplishment. Although Obama will certainly talk up the highlights of his term, he won't want to sound triumphant — not with a jobs report due tomorrow that's expected to show a 43rd straight month of U.S. unemployment above 8 percent.
""In an acceptance situation, you want to paint a bright picture of all the wonderful things that have..."	http://www.huffingtonpost.com/2012/09/06/democratic-national-convention-2012_n_1848873.html	"Former president Bill Clinton brought the house down on Wednesday night at the Democratic National Convention, and now all eyes turn to Barack Obama.
The president joined Clinton on stage following his remarks. At the Time Warner Cable Arena in Charlotte, N.C. on Thursday, Obama will deliver his own speech and accept his party's nomination."
3492	Election Update		Elections	2012-09-09	/story/election-update	State of the race: Advantage, Obama	For Both Parties, Spanglish Is The Unofficial Convention Language 	Why Obama Will Have Trouble Closing the Deal 	http://townhall.com/tipsheet/CarolPlattLiebau/2012/09/09/leftwing_psy_ops	As the campaign settles in for the home stretch, there are many reasons to believe that the Obama campaign will have trouble closing the deal.	http://www.npr.org/blogs/itsallpolitics/2012/09/09/160640798/for-both-parties-spanglish-is-the-unofficial-convention-language	If you grew up in a bilingual Hispanic household, listening to the Democratic and Republican conventions may have sounded a lot like home.	http://www.politico.com/news/stories/0912/80949.html	President Barack Obama heads out of the national political conventions with a much clearer path to winning, top advisers to Mitt Romney privately concede.
3491	Obama Post DNC Bump		Elections	2012-09-10	/story/obama-post-dnc-bump	Obama Convention Bounce Confirmed In Latest Tracking Polls	Obama Got The Convention Bounce, As Well As Bad Economic Numbers	Confirmed: Despite Recycled DNC Speech, Obama Gets Poll Bounce	http://townhall.com/tipsheet/guybenson/2012/09/10/confirmed_despite_recycled_dnc_speech_obama_gets_poll_bounce	At least the man is consistent.  From failed jobs programs to major speeches, he's always inclined to go green.  The Republican National Committee has produced a new video comparing Obama's acceptance speech in Charlotte to the rhetoric he employed on the campaign trail in 2008.  Similarities abound:	http://www.npr.org/blogs/politicaljunkie/2012/09/10/160766477/obama-got-the-convention-bounce-as-well-as-bad-economic-numbers	"The Democrats were no sooner out of Charlotte when the bad economic news came.
A more disappointing job report than had been forecast. Economic numbers weaker than expected. Just 96,000 jobs were created in August, far fewer than what economists were anticipating. And even a lower unemployment rate Ã¢â‚¬â€ down to 8.1 percent from 8.3 Ã¢â‚¬â€ was explained as that more people had simply stopped looking for work. The hope of four years ago is quickly becoming a fading memory, especially for those whose lives have not seen the change..."	http://www.huffingtonpost.com/2012/09/10/obama-convention-bounce_n_1870087.html	"Daily tracking polls published over the weekend show President Barack Obama enjoying a modest boost in support following the Democratic party convention, though how long that polling ""bounce"" will last remains uncertain.
The latest results from two daily telephone tracking surveys conducted by Gallup and Rasmussen Reports show a very similar pattern. Both had found a roughly even race on interviews conducted in the month of August before the conventions, and both now show Obama leading Republican nominee Mitt Romney by similar margins (5 and 4 percentage points, respectively)."
3490	New Healthcare Study		Healthcare	2012-09-11	/story/new-healthcare-study	More Young Adults Have Insurance After Health Care Law, Study Says	Insurance Costs Rise, But More Slowly	Premiums for family health plans hit $15,745 	http://www.washingtontimes.com/news/2012/sep/11/premiums-family-health-plans-hit-15745/	It sounds like good news: Annual premiums for job-based family health plans went up only 4 percent this year.	http://www.npr.org/blogs/health/2012/09/11/160955055/insurance-costs-rise-but-more-slowly	"you get health insurance on the job, chances are it cost more again this year.
Annual family health insurance premiums rose about 4 percent to $15,745 in 2012, according to the latest survey by the Kaiser Family Foundation and Health Research and Educational Trust.
Now that's a fairly modest increase by historical standards, and well down from last year's 9 percent. Still, it's more than double the 1.7 percent increase in average wages and way above the 2.3 percent rate of general inflation this year."	http://www.nytimes.com/2012/09/10/health/policy/more-young-adults-have-health-insurance-study-says.html	The share of young adults without health insurance fell by one-sixth in 2011 from the previous year, the largest annual decline for any age group since the Centers for Disease Control and Prevention began collecting the data in 1997, according to a new report released on Monday.
3489	Turmoil Spreads to Yemen		Middle East	2012-09-13	/story/turmoil-spreads-yemen	Turmoil Over Film Spreads to U.S. Embassy in Yemen	Protesters Storm U.S. Embassy Compound In Yemen	U.S. Embassy in Yemen Stormed, U.S. Flag Burned and Replaced	http://townhall.com/tipsheet/katiepavlich/2012/09/13/us_embassy_in_yemem_stormed_us_flag_burned_and_replaced	The Middle East is burning. The U.S. Embassy in Yemen has been stormed as angry Muslims continue to show their outrage over a film depicting their profit Muhammad in a negative light.	http://www.npr.org/2012/09/13/161048997/protesters-storm-u-s-embassy-in-yemen	"Chanting ""death to America,"" hundreds of protesters angered by an anti-Islam film stormed the U.S. Embassy compound in Yemen's capital and burned the American flag on Thursday, the latest in a series of attacks on American diplomatic missions in the Middle East."	http://www.nytimes.com/2012/09/14/world/middleeast/mideast-turmoil-spreads-to-us-embassy-in-yemen.html	Protesters angered by an anti-Islam film tried to storm the American embassy in Sana, the Yemeni capital, on Thursday, two days after assailants killed the United States ambassador to Libya.
